county,population,area,population_density,bachelor_or_higher,income_per_cap,percent_white,percent_poverty,percent_females,percent_over_65,winner
"Newton County, Indiana",13984,402,34.79,8.50,25594,96.70,11.20,49.50,19.50,Donald Trump
"Noble County, Indiana",47744,411,116.17,13.20,21889,96.70,14.20,49.90,16.00,Donald Trump
"Ohio County, Indiana",5875,86,68.31,13.10,25443,97.70,8.30,50.50,22.10,Donald Trump
"Orange County, Indiana",19646,398,49.36,12.60,18576,96.50,17.90,50.10,19.50,Donald Trump
"Owen County, Indiana",20799,385,54.02,11.00,21318,97.30,14.00,50.00,19.30,Donald Trump
"Parke County, Indiana",16937,445,38.06,13.70,20534,95.80,13.30,52.70,19.40,Donald Trump
"Perry County, Indiana",19169,382,50.18,10.90,20934,95.20,10.90,46.40,18.80,Donald Trump
"Pike County, Indiana",12389,334,37.09,11.20,22245,97.40,12.70,50.10,20.00,Donald Trump
"Porter County, Indiana",170389,418,407.63,25.40,28669,92.20,10.40,50.50,16.40,Donald Trump
"Posey County, Indiana",25427,410,62.02,20.50,29187,96.90,9.90,50.10,18.80,Donald Trump
"Pulaski County, Indiana",12353,434,28.46,13.10,21641,97.10,14.00,49.00,19.60,Donald Trump
"Putnam County, Indiana",37576,481,78.12,16.20,21520,93.30,9.70,47.50,16.60,Donald Trump
"Randolph County, Indiana",24665,452,54.57,12.40,21592,97.00,17.40,50.90,20.30,Donald Trump
"Ripley County, Indiana",28324,446,63.51,15.90,22059,97.00,9.40,50.50,17.80,Donald Trump
"Rush County, Indiana",16581,408,40.64,15.10,23396,96.90,15.40,50.70,18.30,Donald Trump
"St. Joseph County, Indiana",271826,458,593.51,11.50,20481,97.10,19.00,50.90,16.60,Joe Biden
"Scott County, Indiana",23873,190,125.65,14.80,24459,96.00,12.90,50.30,17.10,Donald Trump
"Shelby County, Indiana",44729,411,108.83,15.50,23641,97.20,12.60,49.70,19.30,Donald Trump
"Spencer County, Indiana",20277,397,51.08,26.50,23509,79.90,17.70,51.30,15.80,Donald Trump
"Starke County, Indiana",22995,309,74.42,12.30,19773,97.60,16.90,50.10,18.60,Donald Trump
"Steuben County, Indiana",34594,309,111.95,19.40,23975,96.90,11.50,49.20,20.20,Donald Trump
"Sullivan County, Indiana",20669,447,46.24,13.20,19821,93.20,17.90,45.70,18.00,Donald Trump
"Switzerland County, Indiana",10751,221,48.65,9.90,20019,96.70,22.20,48.50,17.30,Donald Trump
"Tippecanoe County, Indiana",195732,500,391.46,35.70,23691,83.20,21.60,48.90,11.60,Joe Biden
"Tipton County, Indiana",15148,261,58.04,16.40,25093,97.10,9.40,50.20,20.90,Donald Trump
"Union County, Indiana",7054,161,43.81,18.40,20883,96.60,12.70,50.40,19.40,Donald Trump
"Vanderburgh County, Indiana",181451,233,778.76,22.60,24378,85.80,15.90,51.50,16.90,Donald Trump
"Vermillion County, Indiana",15498,257,60.30,13.00,22875,97.50,15.80,50.30,20.00,Donald Trump
"Vigo County, Indiana",107038,403,265.60,21.20,21192,87.90,20.00,49.30,16.30,Donald Trump
"Wabash County, Indiana",30996,412,75.23,17.00,21201,96.60,15.10,51.50,20.90,Donald Trump
"Warren County, Indiana",8265,365,22.64,16.00,27390,97.60,7.10,50.60,20.20,Donald Trump
"Warrick County, Indiana",62998,385,163.63,27.20,29927,93.80,9.00,51.00,17.50,Donald Trump
"Washington County, Indiana",28036,514,54.54,11.90,21370,97.90,15.10,50.20,17.10,Donald Trump
"Wayne County, Indiana",65884,402,163.89,17.40,21114,90.50,21.80,51.60,19.20,Donald Trump
"Wells County, Indiana",28296,368,76.89,15.70,24269,97.00,10.70,50.70,18.30,Donald Trump
"White County, Indiana",24102,505,47.73,15.40,23666,96.50,10.80,50.20,20.10,Donald Trump
"Whitley County, Indiana",33964,336,101.08,16.70,24613,97.20,8.20,50.20,18.00,Donald Trump
"Adair County, Iowa",7152,569,12.57,16.30,25564,97.80,9.50,50.30,22.70,Donald Trump
"Adams County, Iowa",3602,424,8.50,13.70,23707,97.60,11.30,49.90,23.10,Donald Trump
"Allamakee County, Iowa",13687,640,21.39,14.90,24926,96.00,12.60,49.30,22.70,Donald Trump
"Appanoose County, Iowa",12426,496,25.05,18.30,21599,96.70,15.20,50.60,22.70,Donald Trump
"Audubon County, Iowa",5496,443,12.41,16.60,30919,97.80,9.50,51.50,24.70,Donald Trump
"Benton County, Iowa",25645,716,35.82,18.80,26624,97.60,8.40,50.10,18.60,Donald Trump
"Black Hawk County, Iowa",131228,567,231.44,25.30,24273,84.50,17.00,50.80,16.40,Joe Biden
"Boone County, Iowa",26234,572,45.86,20.30,27149,96.60,10.10,49.50,18.40,Donald Trump
"Bremer County, Iowa",25062,428,58.56,28.30,28727,96.40,7.30,50.50,19.60,Donald Trump
"Buchanan County, Iowa",21175,571,37.08,17.10,27038,97.50,9.90,50.30,17.90,Donald Trump
"Buena Vista County, Iowa",19620,575,34.12,20.00,22899,82.90,12.80,49.20,16.10,Donald Trump
"Butler County, Iowa",14439,580,24.89,15.00,25269,97.70,9.80,50.10,22.30,Donald Trump
"Calhoun County, Iowa",9668,570,16.96,19.10,25766,95.90,13.40,48.40,22.90,Donald Trump
"Carroll County, Iowa",20165,569,35.44,18.80,25430,96.80,9.60,50.80,20.30,Donald Trump
"Cass County, Iowa",12836,564,22.76,19.00,25448,97.20,11.40,50.80,23.20,Donald Trump
"Cedar County, Iowa",18627,580,32.12,19.50,26567,97.10,8.00,50.20,19.70,Donald Trump
"Cerro Gordo County, Iowa",42450,568,74.74,21.00,27291,94.80,13.20,51.10,21.80,Donald Trump
"Cherokee County, Iowa",11235,577,19.47,19.60,26330,96.50,9.70,49.70,24.00,Donald Trump
"Chickasaw County, Iowa",11933,505,23.63,13.80,24139,97.90,10.30,49.40,20.80,Donald Trump
"Clarke County, Iowa",9395,431,21.80,14.30,23472,95.20,13.70,49.40,18.50,Donald Trump
"Clay County, Iowa",16016,569,28.15,18.40,29060,96.70,8.90,50.80,20.70,Donald Trump
"Clayton County, Iowa",17549,779,22.53,15.50,25074,97.60,12.50,49.40,23.80,Donald Trump
"Clinton County, Iowa",46429,695,66.80,17.70,25966,94.00,14.00,50.90,19.70,Donald Trump
"Crawford County, Iowa",16820,714,23.56,14.70,22748,91.40,15.80,48.90,17.50,Donald Trump
"Dallas County, Iowa",93453,586,159.48,43.60,35844,90.60,6.40,50.70,12.00,Donald Trump
"Davis County, Iowa",9000,503,17.89,16.40,22210,98.00,21.20,50.50,17.90,Donald Trump
"Decatur County, Iowa",7870,532,14.79,18.40,18845,95.00,19.50,50.10,20.10,Donald Trump
"Delaware County, Iowa",17011,578,29.43,15.50,26261,97.70,8.40,49.60,19.30,Donald Trump
"Des Moines County, Iowa",38967,416,93.67,18.90,24408,89.60,13.80,51.30,20.80,Donald Trump
"Dickinson County, Iowa",17258,381,45.30,25.40,31790,97.50,7.80,50.30,26.10,Donald Trump
"Dubuque County, Iowa",97311,608,160.05,27.10,26254,92.80,10.90,50.60,18.00,Donald Trump
"Emmet County, Iowa",9208,396,23.25,15.30,27908,94.10,12.50,49.80,21.40,Donald Trump
"Fayette County, Iowa",19650,731,26.88,18.40,23391,95.70,11.50,49.60,21.50,Donald Trump
"Floyd County, Iowa",15642,501,31.22,15.90,24590,94.00,12.60,50.60,21.80,Donald Trump
"Franklin County, Iowa",10070,582,17.30,15.10,26102,96.10,11.10,49.60,21.00,Donald Trump
"Fremont County, Iowa",6960,511,13.62,20.50,26930,97.00,10.20,50.10,22.70,Donald Trump
"Greene County, Iowa",8888,568,15.65,17.40,26205,97.10,13.00,50.70,22.10,Donald Trump
"Grundy County, Iowa",12232,503,24.32,20.70,31164,98.10,7.00,50.70,20.90,Donald Trump
"Guthrie County, Iowa",10689,591,18.09,17.10,28030,97.30,10.30,50.10,22.50,Donald Trump
"Hamilton County, Iowa",14773,577,25.60,18.00,24510,94.00,12.30,50.20,20.50,Donald Trump
"Hancock County, Iowa",10630,571,18.62,16.60,25814,97.10,10.40,49.90,22.50,Donald Trump
"Hardin County, Iowa",16846,569,29.61,19.70,25153,95.80,8.60,49.80,22.00,Donald Trump
"Harrison County, Iowa",14049,697,20.16,17.70,26184,97.50,9.60,50.00,19.70,Donald Trump
"Henry County, Iowa",19954,434,45.98,20.00,22687,92.40,17.90,48.40,19.00,Donald Trump
"Howard County, Iowa",9158,473,19.36,11.60,24286,97.80,11.60,50.10,20.90,Donald Trump
"Humboldt County, Iowa",9558,434,22.02,18.20,26746,97.00,10.20,50.70,21.50,Donald Trump
"Ida County, Iowa",6860,432,15.88,19.60,25869,97.40,14.40,50.10,22.20,Donald Trump
"Iowa County, Iowa",16184,586,27.62,21.00,28068,97.40,10.90,50.20,19.00,Donald Trump
"Jackson County, Iowa",19439,636,30.56,14.50,24493,96.70,10.50,50.10,20.90,Donald Trump
"Jasper County, Iowa",37185,730,50.94,17.80,24905,95.30,11.80,48.90,19.10,Donald Trump
"Jefferson County, Iowa",18295,435,42.06,31.20,27593,83.30,12.40,44.90,22.40,Donald Trump
"Johnson County, Iowa",151140,614,246.16,51.10,29592,83.00,17.70,50.40,11.70,Joe Biden
"Jones County, Iowa",20681,575,35.97,17.20,26762,95.20,8.30,48.30,20.60,Donald Trump
"Keokuk County, Iowa",10246,579,17.70,13.40,22243,97.80,13.20,49.10,21.40,Donald Trump
"Kossuth County, Iowa",14813,973,15.22,18.30,29127,96.60,8.70,49.60,23.70,Donald Trump
"Lee County, Iowa",33657,517,65.10,15.80,22649,93.80,15.10,49.60,20.30,Donald Trump
"Linn County, Iowa",226706,718,315.75,31.20,29943,88.40,9.70,50.70,15.80,Joe Biden
"Louisa County, Iowa",11035,402,27.45,13.50,24272,93.00,12.20,49.00,18.50,Donald Trump
"Lucas County, Iowa",8600,431,19.95,11.30,21126,97.90,17.00,49.00,21.80,Donald Trump
"Lyon County, Iowa",11755,588,19.99,17.60,23683,97.70,8.00,49.30,18.10,Donald Trump
"Madison County, Iowa",16338,561,29.12,21.50,27685,97.00,8.90,50.10,17.00,Donald Trump
"Mahaska County, Iowa",22095,571,38.70,21.50,23788,94.80,15.90,49.40,18.30,Donald Trump
"Marion County, Iowa",33253,554,60.02,25.00,25477,96.10,9.20,50.00,17.80,Donald Trump
"Marshall County, Iowa",39369,572,68.83,19.30,24117,91.00,12.10,49.40,18.20,Donald Trump
"Mills County, Iowa",15109,437,34.57,24.00,27101,96.90,7.00,49.70,18.40,Donald Trump
"Mitchell County, Iowa",10586,469,22.57,15.70,24518,97.90,7.10,50.20,21.20,Donald Trump
"Monona County, Iowa",8615,693,12.43,14.30,24557,96.40,9.00,51.20,24.60,Donald Trump
"Monroe County, Iowa",7707,433,17.80,19.30,24508,97.50,11.80,50.50,20.00,Donald Trump
"Montgomery County, Iowa",9917,424,23.39,15.10,22868,97.20,16.10,51.30,21.40,Donald Trump
"Muscatine County, Iowa",42664,439,97.18,16.20,25038,93.40,14.40,50.00,16.60,Donald Trump
"O'Brien County, Iowa",13753,573,24.00,18.90,28086,96.20,11.30,49.80,20.70,Donald Trump
"Osceola County, Iowa",5958,399,14.93,15.60,24653,96.10,8.60,49.00,21.50,Donald Trump
"Page County, Iowa",15107,535,28.24,17.40,23496,93.80,13.90,47.20,22.30,Donald Trump
"Palo Alto County, Iowa",8886,564,15.76,16.50,25055,95.50,9.20,50.20,21.90,Donald Trump
"Plymouth County, Iowa",25177,864,29.14,20.90,27942,95.90,6.40,50.10,18.40,Donald Trump
"Pocahontas County, Iowa",6619,578,11.45,17.80,25556,96.10,14.20,50.20,23.00,Donald Trump
"Polk County, Iowa",490161,570,859.93,34.90,30442,85.00,11.80,50.70,13.10,Joe Biden
"Pottawattamie County, Iowa",93206,954,97.70,19.10,25847,94.50,13.80,50.80,17.50,Donald Trump
"Poweshiek County, Iowa",18504,585,31.63,24.10,25318,94.00,12.80,51.50,20.80,Donald Trump
"Ringgold County, Iowa",4894,538,9.10,17.60,23324,97.30,13.10,50.60,24.50,Donald Trump
"Sac County, Iowa",9721,576,16.88,19.10,26350,97.60,8.70,50.70,23.50,Donald Trump
"Scott County, Iowa",172943,458,377.60,31.60,28948,85.60,13.10,51.00,16.20,Joe Biden
"Shelby County, Iowa",11454,591,19.38,18.20,26387,96.70,10.80,50.60,22.60,Donald Trump
"Sioux County, Iowa",34855,768,45.38,23.40,24324,96.70,8.20,49.70,15.90,Donald Trump
"Story County, Iowa",97117,573,169.49,47.70,25986,86.30,20.90,47.80,12.00,Joe Biden
"Tama County, Iowa",16854,721,23.38,16.10,25311,87.20,11.50,49.90,19.70,Donald Trump
"Taylor County, Iowa",6121,534,11.46,13.80,23793,97.50,14.50,49.30,22.10,Donald Trump
"Union County, Iowa",12241,424,28.87,16.50,23007,96.50,16.10,51.50,20.60,Donald Trump
"Van Buren County, Iowa",7044,485,14.52,14.40,21368,97.40,16.50,48.50,22.50,Donald Trump
"Wapello County, Iowa",34969,432,80.95,16.20,22699,91.20,19.10,50.20,18.00,Donald Trump
"Warren County, Iowa",51466,572,89.98,26.70,29088,96.60,7.30,50.70,15.70,Donald Trump
"Washington County, Iowa",21965,569,38.60,20.80,26459,96.40,9.80,50.60,19.30,Donald Trump
"Wayne County, Iowa",6441,526,12.25,14.10,22127,97.40,12.40,50.90,22.10,Donald Trump
"Webster County, Iowa",35904,715,50.22,19.20,24203,91.40,15.80,48.20,18.30,Donald Trump
"Winnebago County, Iowa",10354,400,25.89,18.60,24547,95.40,11.40,50.70,21.50,Donald Trump
"Winneshiek County, Iowa",19991,690,28.97,26.50,25062,97.00,8.40,50.10,20.70,Donald Trump
"Woodbury County, Iowa",103107,873,118.11,20.30,23269,86.90,15.70,50.40,15.10,Donald Trump
"Worth County, Iowa",7381,400,18.45,16.30,26187,96.70,11.50,49.50,20.50,Donald Trump
"Wright County, Iowa",12562,581,21.62,16.00,25827,96.50,11.00,49.70,22.70,Donald Trump
"Allen County, Kansas",12369,503,24.59,16.10,20552,93.00,17.00,50.70,20.70,Donald Trump
"Anderson County, Kansas",7858,583,13.48,19.00,22139,96.30,12.80,50.40,21.30,Donald Trump
"Atchison County, Kansas",16073,432,37.21,21.60,21909,90.90,17.10,51.50,17.20,Donald Trump
"Barber County, Kansas",4427,1134,3.90,19.80,26229,95.10,10.60,48.50,23.00,Donald Trump
"Barton County, Kansas",25779,894,28.84,18.30,25800,95.00,13.90,50.60,19.20,Donald Trump
"Bourbon County, Kansas",14534,637,22.82,22.00,19340,92.00,19.30,50.60,19.70,Donald Trump
"Brown County, Kansas",9564,571,16.75,18.20,21046,85.40,19.00,50.60,20.50,Donald Trump
"Butler County, Kansas",66911,1428,46.86,26.70,27329,92.80,8.40,49.70,15.20,Donald Trump
"Chase County, Kansas",2648,776,3.41,23.60,21775,95.90,13.10,49.10,25.10,Donald Trump
"Chautauqua County, Kansas",3250,642,5.06,16.30,21245,88.40,15.20,48.50,26.70,Donald Trump
"Cherokee County, Kansas",19939,587,33.97,14.90,19580,89.90,18.40,50.80,19.30,Donald Trump
"Cheyenne County, Kansas",2657,1020,2.60,21.70,23677,96.20,11.20,49.30,27.00,Donald Trump
"Clark County, Kansas",1994,975,2.05,26.20,25385,94.40,12.70,50.40,21.90,Donald Trump
"Clay County, Kansas",8002,644,12.43,20.70,24503,96.00,14.00,50.00,23.00,Donald Trump
"Cloud County, Kansas",8786,716,12.27,16.60,20467,95.10,16.30,50.40,21.60,Donald Trump
"Coffey County, Kansas",8179,630,12.98,19.90,27627,95.30,9.10,50.60,21.50,Donald Trump
"Comanche County, Kansas",1700,788,2.16,23.90,21041,95.90,6.40,51.40,25.60,Donald Trump
"Cowley County, Kansas",34908,1126,31.00,20.00,21519,88.70,17.60,49.70,18.20,Donald Trump
"Crawford County, Kansas",38818,593,65.46,27.20,20974,91.40,20.60,49.80,15.50,Donald Trump
"Decatur County, Kansas",2827,894,3.16,19.90,27154,96.70,10.10,49.70,28.10,Donald Trump
"Dickinson County, Kansas",18466,848,21.78,18.50,23895,94.60,10.90,49.60,19.80,Donald Trump
"Doniphan County, Kansas",7600,392,19.39,17.50,22713,92.60,12.30,49.70,19.60,Donald Trump
"Douglas County, Kansas",122259,457,267.53,49.60,26342,83.40,19.00,50.20,12.30,Joe Biden
"Edwards County, Kansas",2798,622,4.50,22.30,24714,93.50,12.90,49.10,21.30,Donald Trump
"Elk County, Kansas",2530,648,3.90,18.00,20322,93.70,18.50,49.50,29.10,Donald Trump
"Ellis County, Kansas",28553,900,31.73,32.30,24291,94.60,16.20,49.60,15.40,Donald Trump
"Ellsworth County, Kansas",6102,716,8.52,20.80,22789,91.40,6.90,43.50,20.90,Donald Trump
"Finney County, Kansas",36467,1300,28.05,17.90,21629,88.50,16.00,48.50,11.00,Donald Trump
"Ford County, Kansas",33619,1099,30.59,16.70,19994,92.20,15.50,48.10,11.20,Donald Trump
"Franklin County, Kansas",25544,574,44.50,20.20,22979,94.60,13.10,50.10,16.60,Donald Trump
"Geary County, Kansas",31670,384,82.47,20.80,21408,69.10,12.10,47.20,8.60,Donald Trump
"Gove County, Kansas",2636,1072,2.46,20.30,26233,97.00,10.30,49.70,24.30,Donald Trump
"Graham County, Kansas",2482,898,2.76,22.90,28146,90.40,11.20,50.40,27.40,Donald Trump
"Grant County, Kansas",7150,575,12.43,17.80,26370,93.90,13.00,49.80,13.70,Donald Trump
"Gray County, Kansas",5988,869,6.89,20.20,25537,96.10,11.20,49.70,15.10,Donald Trump
"Greeley County, Kansas",1232,778,1.58,21.90,32650,97.60,5.40,52.10,20.70,Donald Trump
"Greenwood County, Kansas",5982,1140,5.25,16.50,22280,94.70,16.10,50.00,24.90,Donald Trump
"Hamilton County, Kansas",2539,996,2.55,12.60,24510,93.00,11.20,48.20,14.00,Donald Trump
"Harper County, Kansas",5436,802,6.78,16.90,22820,95.10,16.50,49.90,23.00,Donald Trump
"Harvey County, Kansas",34429,539,63.88,26.30,23775,93.50,12.80,50.60,19.50,Donald Trump
"Haskell County, Kansas",3968,577,6.88,17.70,25114,95.40,10.40,49.80,14.80,Donald Trump
"Hodgeman County, Kansas",1794,860,2.09,22.60,30440,93.90,5.20,50.20,24.00,Donald Trump
"Jackson County, Kansas",13171,657,20.05,17.70,24117,86.40,9.40,50.00,19.10,Donald Trump
"Jefferson County, Kansas",19043,536,35.53,21.30,26280,95.90,7.70,49.10,18.60,Donald Trump
"Jewell County, Kansas",2879,909,3.17,14.70,23134,97.40,12.50,48.90,30.10,Donald Trump
"Johnson County, Kansas",602401,477,1262.90,51.70,38827,86.90,6.50,50.90,14.50,Joe Biden
"Kearny County, Kansas",3838,870,4.41,17.20,22292,93.90,10.10,50.10,15.50,Donald Trump
"Kingman County, Kansas",7152,864,8.28,19.30,24026,96.10,12.50,49.90,21.70,Donald Trump
"Kiowa County, Kansas",2475,722,3.43,20.00,23232,94.80,12.30,51.00,21.90,Donald Trump
"Labette County, Kansas",19618,649,30.23,20.40,22394,89.00,15.30,50.30,19.10,Donald Trump
"Lane County, Kansas",1535,717,2.14,22.70,31694,94.00,10.30,49.50,23.50,Donald Trump
"Leavenworth County, Kansas",81758,463,176.58,28.70,27017,84.80,10.70,46.80,14.50,Donald Trump
"Lincoln County, Kansas",2962,719,4.12,19.70,23686,96.70,12.80,50.40,24.40,Donald Trump
"Linn County, Kansas",9703,599,16.20,14.20,26224,95.90,12.90,49.40,22.40,Donald Trump
"Logan County, Kansas",2794,1073,2.60,15.60,25328,95.90,12.80,50.30,20.80,Donald Trump
"Lyon County, Kansas",33195,851,39.01,24.10,19789,90.10,21.10,51.40,15.20,Donald Trump
"McPherson County, Kansas",28542,943,30.27,20.80,22269,95.60,12.00,50.30,23.30,Donald Trump
"Marion County, Kansas",11884,903,13.16,15.00,25262,96.60,12.20,50.20,21.70,Donald Trump
"Marshall County, Kansas",9707,900,10.79,25.70,27462,95.30,8.20,51.00,19.80,Donald Trump
"Meade County, Kansas",4033,978,4.12,23.80,21990,95.30,9.50,49.30,19.30,Donald Trump
"Miami County, Kansas",34237,577,59.34,23.90,28412,95.30,9.50,50.30,16.70,Donald Trump
"Mitchell County, Kansas",5979,700,8.54,23.80,26911,96.70,9.70,49.40,23.60,Donald Trump
"Montgomery County, Kansas",31829,645,49.35,17.90,21332,84.70,19.40,50.50,19.90,Donald Trump
"Morris County, Kansas",5620,697,8.06,17.40,24680,96.00,8.30,50.00,24.70,Donald Trump
"Morton County, Kansas",2587,730,3.54,17.50,22378,91.80,11.30,50.40,20.30,Donald Trump
"Nemaha County, Kansas",10231,719,14.23,19.50,24550,96.70,11.50,49.40,20.20,Donald Trump
"Neosho County, Kansas",16007,572,27.98,16.20,21163,94.10,20.70,50.50,19.80,Donald Trump
"Ness County, Kansas",2750,1075,2.56,19.00,30223,96.20,12.70,50.70,25.90,Donald Trump
"Norton County, Kansas",5361,878,6.11,15.40,22942,93.60,9.40,44.10,20.50,Donald Trump
"Osage County, Kansas",15949,704,22.65,20.60,24789,95.90,10.60,49.90,19.80,Donald Trump
"Osborne County, Kansas",3421,893,3.83,18.00,26313,96.20,17.30,49.50,25.00,Donald Trump
"Ottawa County, Kansas",5704,721,7.91,21.00,26614,96.20,9.50,48.10,20.40,Donald Trump
"Pawnee County, Kansas",6414,754,8.51,22.90,23230,90.40,6.30,43.90,21.00,Donald Trump
"Phillips County, Kansas",5234,886,5.91,18.30,23772,96.60,10.00,50.40,23.90,Donald Trump
"Pottawatomie County, Kansas",24383,844,28.89,29.30,24892,94.20,9.00,50.30,14.30,Donald Trump
"Pratt County, Kansas",9164,735,12.47,23.40,26209,94.00,11.60,50.50,20.20,Donald Trump
"Rawlins County, Kansas",2530,1070,2.36,23.30,26897,96.30,11.50,49.50,27.90,Donald Trump
"Reno County, Kansas",61998,1254,49.44,19.80,23382,92.70,12.40,49.80,19.80,Donald Trump
"Republic County, Kansas",4636,716,6.47,19.80,25531,96.60,12.50,50.60,27.70,Donald Trump
"Rice County, Kansas",9537,727,13.12,20.90,23068,93.50,14.90,50.10,19.30,Donald Trump
"Riley County, Kansas",74232,610,121.69,45.00,22948,83.60,23.20,47.50,9.50,Joe Biden
"Rooks County, Kansas",4920,888,5.54,20.90,23768,95.90,18.30,51.70,22.20,Donald Trump
"Rush County, Kansas",3036,718,4.23,19.40,24175,96.40,12.80,48.70,24.80,Donald Trump
"Russell County, Kansas",6856,885,7.75,21.80,24683,95.10,14.60,50.70,24.50,Donald Trump
"Saline County, Kansas",54224,720,75.31,23.90,24935,90.20,17.40,50.40,17.90,Donald Trump
"Scott County, Kansas",4823,718,6.72,23.40,26274,95.30,11.30,49.60,19.40,Donald Trump
"Sedgwick County, Kansas",516042,1000,516.04,28.70,25603,81.00,15.30,50.50,14.50,Donald Trump
"Seward County, Kansas",21428,640,33.48,12.60,19015,88.20,19.40,49.30,9.80,Donald Trump
"Shawnee County, Kansas",176875,550,321.59,28.60,26057,84.20,16.70,51.60,18.20,Joe Biden
"Sheridan County, Kansas",2521,896,2.81,22.40,26841,97.20,12.90,49.70,23.10,Donald Trump
"Sherman County, Kansas",5917,1056,5.60,15.70,21476,95.80,16.80,49.80,19.30,Donald Trump
"Smith County, Kansas",3583,896,4.00,16.70,26811,96.50,15.40,50.30,27.70,Donald Trump
"Stafford County, Kansas",4156,792,5.25,19.10,23240,94.60,15.10,49.20,22.20,Donald Trump
"Stanton County, Kansas",2006,680,2.95,18.50,21712,94.80,4.00,50.20,17.60,Donald Trump
"Stevens County, Kansas",5485,728,7.53,17.60,24950,94.40,15.10,50.50,15.90,Donald Trump
"Sumner County, Kansas",22836,1182,19.32,17.80,22972,94.20,13.40,49.90,18.70,Donald Trump
"Thomas County, Kansas",7777,1075,7.23,27.90,26903,95.50,11.20,51.00,17.70,Donald Trump
"Trego County, Kansas",2803,888,3.16,21.50,23095,96.60,6.70,49.20,26.50,Donald Trump
"Wabaunsee County, Kansas",6931,798,8.69,20.60,24199,95.30,6.40,48.90,20.00,Donald Trump
"Wallace County, Kansas",1518,914,1.66,23.50,25429,95.60,8.40,50.10,23.30,Donald Trump
"Washington County, Kansas",5406,898,6.02,16.10,22621,96.80,10.20,48.90,23.90,Donald Trump
"Wichita County, Kansas",2119,719,2.95,16.60,23799,95.50,9.90,49.00,20.20,Donald Trump
"Wilson County, Kansas",8525,574,14.85,13.00,19929,94.40,17.80,50.50,21.40,Donald Trump
"Woodson County, Kansas",3138,501,6.26,18.20,21774,95.40,19.60,49.70,24.30,Donald Trump
"Wyandotte County, Kansas",165429,151,1095.56,15.50,18957,66.90,23.90,50.40,12.30,Joe Biden
"Adair County, Kentucky",19202,407,47.18,13.90,17371,94.90,19.10,50.50,18.60,Donald Trump
"Allen County, Kentucky",21315,346,61.60,12.70,19086,96.70,18.60,50.50,17.60,Donald Trump
"Anderson County, Kentucky",22747,203,112.05,20.40,24161,95.30,11.30,51.00,15.80,Donald Trump
"Ballard County, Kentucky",7888,251,31.43,13.10,24781,93.50,14.40,50.20,20.90,Donald Trump
"Barren County, Kentucky",44249,491,90.12,14.70,19745,92.60,20.80,51.70,17.70,Donald Trump
"Bath County, Kentucky",12500,279,44.80,12.00,16367,96.30,28.00,50.70,16.80,Donald Trump
"Bell County, Kentucky",26032,361,72.11,10.80,15091,95.00,33.50,51.00,19.20,Donald Trump
"Boone County, Kentucky",133581,246,543.01,30.40,29235,91.40,9.00,50.50,13.50,Donald Trump
"Bourbon County, Kentucky",19788,291,68.00,15.80,22893,91.00,17.20,51.30,18.90,Donald Trump
"Boyd County, Kentucky",46718,160,291.99,16.30,24530,94.70,19.90,50.20,19.50,Donald Trump
"Boyle County, Kentucky",30060,182,165.16,22.80,22249,88.30,18.30,50.20,19.10,Donald Trump
"Bracken County, Kentucky",8303,203,40.90,14.20,20918,97.30,16.80,49.90,16.60,Donald Trump
"Breathitt County, Kentucky",12630,495,25.52,9.80,14706,97.30,32.50,50.00,17.20,Donald Trump
"Breckinridge County, Kentucky",20477,572,35.80,9.40,18101,95.40,19.60,49.70,19.30,Donald Trump
"Bullitt County, Kentucky",81676,299,273.16,12.70,24308,96.00,10.20,50.30,15.60,Donald Trump
"Butler County, Kentucky",12879,428,30.09,8.20,18136,97.40,25.10,49.80,18.80,Donald Trump
"Caldwell County, Kentucky",12747,347,36.73,16.80,20327,92.10,21.40,51.80,20.90,Donald Trump
"Calloway County, Kentucky",39001,386,101.04,27.70,21490,91.90,20.10,51.30,16.90,Donald Trump
"Campbell County, Kentucky",93584,152,615.68,28.50,26945,94.00,13.00,50.90,15.60,Donald Trump
"Carlisle County, Kentucky",4760,192,24.79,15.50,21500,95.50,16.20,50.70,21.40,Donald Trump
"Carroll County, Kentucky",10631,130,81.78,9.50,19429,94.30,29.90,49.60,15.20,Donald Trump
"Carter County, Kentucky",26797,411,65.20,10.40,19204,97.70,20.30,50.80,18.80,Donald Trump
"Casey County, Kentucky",16159,446,36.23,8.40,15603,97.00,26.80,51.50,20.10,Donald Trump
"Christian County, Kentucky",70461,721,97.73,15.10,19773,71.90,20.50,46.50,12.30,Donald Trump
"Clark County, Kentucky",36263,254,142.77,19.40,24524,92.70,15.40,51.20,17.90,Donald Trump
"Clay County, Kentucky",19901,471,42.25,9.00,13542,94.40,37.70,47.90,15.20,Donald Trump
"Clinton County, Kentucky",10218,198,51.61,7.00,16795,97.00,24.40,50.90,19.50,Donald Trump
"Crittenden County, Kentucky",8806,362,24.33,11.40,21375,97.10,20.80,49.70,20.80,Donald Trump
"Cumberland County, Kentucky",6614,306,21.61,13.90,17697,94.80,23.60,51.30,21.90,Donald Trump
"Daviess County, Kentucky",101511,462,219.72,18.80,22963,90.60,15.20,51.10,16.90,Donald Trump
"Edmonson County, Kentucky",12150,303,40.10,9.80,19481,95.90,16.10,49.80,20.70,Donald Trump
